mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12,,,,,,,,,,,,,,
69.28202,10.886121,10.550183,-0.94152737,6.741122,-1.5492083,5.681495,-4.385438,2.9829805,-4.718669,4.6249685,-2.9167318,,,,,,,,,,,,,,
44.443974,16.599586,12.158883,-4.7118053,4.9156756,-2.149541,8.05328,-2.2195442,5.974294,-3.9601593,5.22162,-4.2167664,,,,,,,,,,,,,,
20.812054,24.581142,14.895332,-5.8323026,6.1638722,-1.5885572,8.386549,-2.7099032,6.4135723,-6.4249244,4.981934,-7.041053,,,,,,,,,,,,,,
20.225195,27.148685,16.356697,-5.7177453,6.4895377,-2.4791577,9.179017,-3.3696227,8.746861,-2.596092,7.9458337,-4.9125714,,,,,,,,,,,,,,
37.043743,15.084448,14.553791,-0.21412909,7.425144,-1.5599657,7.469889,-2.883075,5.126161,-4.4043837,4.9526486,-4.1429687,,,,,,,,,,,,,,
61.845444,9.186935,10.5267515,-0.18872036,6.045628,-2.7297373,4.5734706,-3.5158055,4.1925936,-3.157409,4.724483,-3.365318,,,,,,,,,,,,,,
39.433327,11.516764,13.755062,1.3950429,8.321423,-1.4083517,6.5890207,-2.947251,4.7372537,-4.748485,3.8226335,-3.8072982,,,,,,,,,,,,,,
31.88925,14.817369,11.945213,-0.8592014,7.8315196,-0.2700858,7.666688,-2.880337,3.398612,-4.7791715,4.665169,-3.4579139,,,,,,,,,,,,,,
17.808086,25.224136,3.5139885,-5.6834593,6.484728,-2.0120943,7.6495457,-3.4082441,6.5623713,-4.2027907,5.851925,-6.568879,,,,,,,,,,,,,,
37.59868,28.113577,9.0245905,-7.5425887,4.642164,-3.8846219,7.277415,-5.848252,5.680559,-5.204631,6.113169,-5.1768575,,,,,,,,,,,,,,
33.777763,30.113308,12.096209,-8.69775,6.3674645,-3.355835,6.06078,-6.60389,5.9998717,-4.83959,5.5048738,-4.4850984,,,,,,,,,,,,,,
26.084288,31.630342,12.149822,-6.3069077,4.6998615,-2.3041134,8.434743,-5.515324,7.976282,-4.16418,5.7725883,-5.741745,,,,,,,,,,,,,,
32.889793,24.004917,12.005784,-7.5921364,6.806665,-1.6176274,8.938102,-3.9605606,6.0853305,-4.0903234,5.28708,-3.9792607,,,,,,,,,,,,,,
47.94377,15.703237,12.642657,-2.8835454,3.993331,-3.8295035,4.7531133,-4.9500356,3.206027,-4.7752757,5.0221214,-2.536667,,,,,,,,,,,,,,
17.836096,22.998484,16.306156,-8.938701,4.847137,-1.0626584,7.9041543,-5.605657,2.5879176,-4.4848223,5.3620663,-4.139813,,,,,,,,,,,,,,
23.727154,20.515635,14.381479,-4.2813935,5.137165,-2.5747495,7.146041,-3.9979599,5.163862,-3.4559538,6.7173505,-2.6410441,,,,,,,,,,,,,,
36.255367,11.9217415,9.772975,-3.2038567,4.8050933,-1.6231233,6.682503,-2.955026,4.2642117,-3.3920925,5.4420333,-2.5917854,,,,,,,,,,,,,,
13.788113,23.215473,14.68505,-4.4973764,5.6598644,-2.320273,7.8258557,-3.617709,5.674752,-3.7823207,5.668475,-5.193468,,,,,,,,,,,,,,
20.66352,17.49362,12.122948,-3.2869446,5.486149,-1.512768,7.200208,-2.783345,5.963181,-2.5840762,5.8422036,-4.6163926,,,,,,,,,,,,,,
9.89641,23.918816,13.31789,-5.5972943,4.823625,-3.158293,7.0906787,-3.5561583,6.023683,-4.3066,5.077483,-5.078891,,,,,,,,,,,,,,
67.243195,26.205256,12.984167,-6.121299,2.613631,-3.0587409,5.9188147,-4.4817243,6.228966,-2.6036847,5.6997023,-3.0243688,,,,,,,,,,,,,,
80.45968,17.634186,11.290114,-4.320491,4.3980937,-3.5395334,6.317169,-3.2690082,5.589164,-2.7266223,5.877368,-4.3950677,,,,,,,,,,,,,,
71.716576,16.528357,10.0812025,-4.340487,5.826274,-2.1585298,6.913242,-2.698161,7.2445307,-1.2138118,6.865441,-3.5314684,,,,,,,,,,,,,,
66.325645,14.706684,11.629969,-4.443537,3.2250693,-4.564607,5.8689084,-3.3985314,5.4758787,-2.9768405,6.2797904,-2.6144364,,,,,,,,,,,,,,
70.38348,10.61573,10.941989,-1.3024081,5.8212914,-2.7964513,5.1892896,-3.4847999,4.705912,-4.0421095,3.933653,-3.8609471,,,,,,,,,,,,,,
57.238213,11.658844,12.030706,-1.0348438,5.788168,-2.5968163,6.313453,-3.1147609,4.301835,-4.363043,5.0884514,-3.9376662,,,,,,,,,,,,,,
51.903957,10.229587,11.648356,-1.6289315,5.264322,-2.8928764,5.7630615,-2.7822442,4.698824,-3.8215353,5.472747,-2.9201982,,,,,,,,,,,,,,
45.752136,9.711742,11.160255,-2.1625621,6.5436172,-1.7035503,7.1874676,-2.538143,4.4013886,-4.2274604,4.444983,-3.7823656,,,,,,,,,,,,,,
43.577972,8.853222,10.434522,-1.3985232,6.4245796,-1.7421625,6.6674404,-2.4122112,5.2978663,-3.5324948,4.904517,-3.3649807,,,,,,,,,,,,,,
43.93857,9.78698,9.992424,-1.7077537,5.203139,-3.520077,5.3971562,-1.8945535,6.197079,-2.751292,4.677361,-4.394766,,,,,,,,,,,,,,
12.52286,20.1057,12.80631,-11.192766,2.947496,-2.9021368,8.904405,-1.6907557,7.3353715,-2.464204,5.6004186,-4.2993364,,,,,,,,,,,,,,
31.057226,14.9300785,11.686658,-3.6845145,3.5854518,-3.4360807,6.9949884,-0.561843,6.0510263,-3.5234332,4.9507375,-2.9054587,,,,,,,,,,,,,,
2.612756,25.590183,14.071166,-8.056503,6.8088465,-1.2577524,8.278597,-3.0962622,5.9820914,-5.022428,5.5733814,-3.1582537,,,,,,,,,,,,,,
4.951328,19.63363,11.056816,-6.068149,5.758859,-2.7002907,6.340573,-5.1415453,3.4567244,-5.297932,5.082944,-4.942718,,,,,,,,,,,,,,
7.3265953,22.434713,12.193069,-3.8113704,6.45009,-2.8214107,6.964339,-4.801689,3.523549,-4.513823,6.7457757,-3.981313,,,,,,,,,,,,,,
6.6554103,15.56443,11.648924,-1.4080006,5.7224903,-2.315775,7.6317077,-3.796856,5.8997498,-2.4711692,7.345781,-3.8362586,,,,,,,,,,,,,,
48.572853,20.234983,10.677869,-7.0215554,2.8924825,-3.6314688,7.392738,-4.083839,5.8733845,-4.430821,5.4916263,-2.9053562,,,,,,,,,,,,,,
79.78012,16.325966,10.299976,-4.6668835,3.9462652,-2.6838844,7.2781806,-2.5222278,5.837271,-2.48251,5.762381,-2.4630876,,,,,,,,,,,,,,
61.035606,27.7975,14.690764,-8.10987,4.7664223,-3.528959,8.418138,-4.573997,6.973307,-2.955391,5.882201,-3.372085,,,,,,,,,,,,,,
74.728966,14.175058,11.985788,-1.6799166,6.574216,-1.3508747,7.345652,-2.3121362,5.7230864,-3.1888678,4.788775,-3.7562537,,,,,,,,,,,,,,
